idx,name,met,tags
442,"Water walking, light effort, slow pace",2.5,Water Activities
443,"Water walking, moderate effort, moderate pace",4.8,Water Activities
444,"Water walking, vigorous effort, brisk pace",6.8,Water Activities
445,"Whitewater rafting, kayaking, or canoeing",5,Water Activities
446,"Water running, 30 steps/min, slow",6.5,Water Activities
447,"Water running, 40 steps/min, moderate",7.5,Water Activities
448,"Water running, 50 steps/min, fast",8.5,Water Activities
449,"Water running, 60 steps/min, very fast",9.8,Water Activities
450,"Windsurfing, not pumping for speed",5,Water Activities
451,"Windsurfing or kitesurfing, crossing trial",11,Water Activities
452,"Windsurfing, competition, pumping for speed",14,Water Activities
453,"Aquatic cycling, 25 W, 40-50 RPM",2.8,Water Activities
454,"Aquatic cycling, 25 W, 60-70 RPM",4.8,Water Activities
455,"Aquatic cycling, 50 W, 40-50 RPM",3.8,Water Activities
456,"Aquatic cycling,  50 W, 60-70 RPM",6,Water Activities
457,"Aquatic cycling, 75 W, 40-50 RPM",5,Water Activities
458,"Aquatic cycling, 75 W, 60-70 RPM",6.3,Water Activities
459,"Aquatic cycling, 100 W, 40-50 RPM",6.3,Water Activities
460,"Aquatic cycling, 100 W, 60-70 RPM",7.5,Water Activities
461,"Aquatic cycling, 80-89 RPM",8.5,Water Activities
462,"Aquatic cycling, 90+ RPM",10.3,Water Activities
463,"Dog sledding, mushing",7.5,Winter Activities
464,"Dog sledding, passenger",2.5,Winter Activities
465,"Moving icehouse, set up/drill holes",6,Winter Activities
466,Ice fishing,2,Winter Activities
467,"Skating, ice dancing",14,Winter Activities
468,"Skating, ice, 9 mph or less",5.5,Winter Activities
469,"Skating, ice, general",7,Winter Activities
470,"Skating, ice, rapidly, more than 9 mph but not competitive",9,Winter Activities
471,"Skating Treadmill, 6 - 6.9 mph, 2% grade",9,Winter Activities
472,"Skating Treadmill, 7 - 7.9 mph, 2% grade",10,Winter Activities
473,"Skating Treadmill, 8 - 8.9 mph, 2% grade",10.5,Winter Activities
474,"Skating Treadmill, 9 - 9.9 mph, 2% grade",11,Winter Activities
475,"Skating, speed, competitive",13.8,Winter Activities
476,"Ski jumping, climb up carrying skis",7,Winter Activities
477,"Skiing, general",7,Winter Activities
478,"Skiing, cross country, 2.5 mph, slow or light effort, ski walking",6.8,Winter Activities
479,"Skiing, cross country, 4.0-4.9 mph, moderate speed and effort, general",8.5,Winter Activities
480,"Skiing, cross country, 5.0-7.9 mph, brisk speed, vigorous effort",11.3,Winter Activities
481,"Skiing, cross country, elite skier",14,Winter Activities
482,"Skiing, cross country, 12-16 mph, elite skier, racing",16,Winter Activities
483,"Skiing, cross-country skiing high-intensity training",9.5,Winter Activities
484,"Skiing, cross country, hard snow, uphill, maximum, snow mountaineering",15.5,Winter Activities
485,"Skiing, cross-country, skating",13.3,Winter Activities
486,"Skiing, cross-country, biathlon, skating technique",13.5,Winter Activities
487,"Biathlon training, 5 degree incline, 8 km/h (5 mph), with/without rifle",12.8,Winter Activities
488,"Biathlon training, 5 degree incline, 10.7 km/h (5 mph), with/without rifle",12.8,Winter Activities
489,"Skiing, slalom",9.3,Winter Activities
490,"Skiing, downhill, alpine or snowboarding, light effort, active time only",4.3,Winter Activities
491,"Skiing, downhill, alpine or snowboarding, moderate effort, general, active time only",6.3,Winter Activities
492,"Skiing, downhill, alpine or snowboarding, vigorous effort, active time only",8,Winter Activities
493,"Skiing, Alpine skiing high-intensity training",7.3,Winter Activities
494,"Sledding, tobogganing, bobsledding, luge",7,Winter Activities
495,"Snow shoeing, moderate effort",5.3,Winter Activities
496,"Snow shoeing, vigorous effort",10,Winter Activities
497,"Snowmobiling, driving, moderate pace, flat land",3.8,Winter Activities
498,"Snowboarding, recreational, moderate pace, mountain",7.5,Winter Activities
499,"Snowmobiling, passenger, light",2,Winter Activities
500,"Snow shoveling, by hand, moderate effort",5.3,Winter Activities
501,"Snow shoveling, by hand, vigorous effort",7.5,Winter Activities
502,"Snow blower, walking and pushing",2.5,Winter Activities
503,"Skiing, roller, elite racers",12.5,Winter Activities
504,"Rollerskiing, 10 - 12.9 km/h, no incline",5.5,Winter Activities
505,"Rollerskiing, 13 - 16.9 km/h, no incline",6.8,Winter Activities
506,"Rollerskiing, 17 - 19.9 km/h, no incline",8.3,Winter Activities
507,"Rollerskiing, 20 - 23.9 km/h, no incline",10.5,Winter Activities
508,"Rollerskiing, 24 - 27.9 km/h, no incline",15,Winter Activities
509,"Rollerskiing, 10-15 km/h, 2-5 degree incline",12.5,Winter Activities
510,"Rollerskiing, 16-22 km/h, 2-5 degree incline",14.3,Winter Activities
511,"Rollerskiing, 6-9 km/h, 6-10 degree incline",12.3,Winter Activities
512,"Rollerskiing, >10 km/h, 6-10 degree incline",16,Winter Activities
513,"Mountaineering, downhill climbing, walking down with rope",9,Winter Activities
514,"Mountaineering, downhill climbing/cross-country skiing",10.3,Winter Activities
